Language name,Alternate language names,Country,Region,Resource Title,Resource URL,Resource type,,,,,,,,
Q'eqchí',,Guatemala,Mexico-Central America-Caribbean,Cultural Survival prevention audio message,https://soundcloud.com/culturalsurvival/coronavirus-prevencion-idioma-qeqchi-radio-comunitaria-xyaab-tzuultaqa,Audio,,,,,,,,
Tseltal,Tzeltal,Mexico,Mexico-Central America-Caribbean,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/coronavirus-tseltal,Audio,,,,,,,,
Maasai,Maa,"Kenya, Tanzania",Africa,Cultural Survival awareness audio message,https://soundcloud.com/culturalsurvival/covid-19-awareness,Audio,,,,,,,,
Amazigh,"Tamazight, Tamaziɣt, ⵜⴰⵎⴰⵣⵉⵖⵜ, ⵜⵎⵣⵗⵜ","Morocco, Tunisia, Libya, Mali, Niger",Africa,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coranvirus_amazigh,Audio,,,,,,,,
Afrikaans,,South Africa,Africa,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_afrikaans,Audio,,,,,,,,
Baniwa,,"Brazil, Venezuela",South America,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_baniwa,Audio,,,,,,,,
Hindi,हिन्दी,India,South Asia,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_hindi,Audio,,,,,,,,
Kikamba,Kamba,"Kenya, Tanzania",Africa,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_kamba,Audio,,,,,,,,
Khoekhoegowab,Khoekhoe,"South Africa, Namibia, Botswana",Africa,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_khoekhoegowab,Audio,,,,,,,,
Khwe,"Kxoe, Khwedam, Khoe","Namibia, Botswana, South Africa, Angola, Zambia",Africa,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_khwedam,Audio,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,Cultural Survival informational audio messge,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_kiswahili,Audio,,,,,,,,
Luo,Lwo,"Kenya, Tanzania, South Sudan, Sudan, Ethiopia",Africa,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_luo,Audio,,,,,,,,
Newari,"Nepal Bhasa, नेवाः भाय्, Nevāh Bhāy",Nepal,South Asia,Information audio message from Cultural Survival,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_nepalbhasa-newari,Audio,,,,,,,,
Nepali,नेपाली,"Nepal, India",South Asia,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_nepali,Audio,,,,,,,,
Sunuwar,"Sunwar, Kõinch, कोँइच","Nepal, India",South Asia,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_sunuwar,Audio,,,,,,,,
Tamang,तामाङ,"Nepal, India, Bhutan",South Asia,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_tamang,Audio,,,,,,,,
Terêna ,Etelena,Brazil,South America,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_terena,Audio,,,,,,,,
Nheengatu,"Nhengatu, Yegatu",Brazil,South America,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_yegatu,Audio,,,,,,,,
Karbi,"Arleng, Mikir","India, Bangladesh",South Asia,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-arleng,Audio,,,,,,,,
Gujarati,ગુજરાતી,India,South Asia,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-gujarati,Audio,,,,,,,,
Gurung,"Tamu Kyi, ཏམུ་ཀི, तमु क्यी",Nepal,South Asia,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-gurung,Audio,,,,,,,,
Kankanaey,Kankanai,Philippines,Southeast Asia,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-kankanaey,Audio,,,,,,,,
Maasai,Maa,"Kenya, Tanzania",Africa,Cultural Survival information audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-maasai,Audio,,,,,,,,
Naro,Nharo,"Botswana, Namibia",Africa,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-naro,Audio,,,,,,,,
!Ora,"Korana, Khoemana, Griqua, Xiri, Xri","South Africa, Namibia",Africa,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-ora,Audio,,,,,,,,
Marshallese,Kajin M̧ajeļ,Marshall Islands,Pacific,CDC symptoms sheet,https://static.wixstatic.com/media/503583_b3d7587e16984766afa0f2e50c05438e~mv2.png,,,,,,,,,
Kurdish,کورمانجی,"Iran, Iraq, Syria, Turkey",Near East,Radio Sweden resources,https://sverigesradio.se/gruppsida.aspx?programid=2200&amp,grupp=33799,,,,,,,,
Saami,Sápmi,Sweden,Europe,Radio Sweden resources,https://sverigesradio.se/sida/gruppsida.aspx?programid=2327&amp,grupp=33847,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,Hesperian info and prevention page,https://sw.hesperian.org/hhg/Virusi_vya_Korona,Web page,,,,,,,,
Tamil,தமிழ்,India,South Asia,Hesperian info and prevention page,https://ta.hesperian.org/hhg/Coronavirus,Web page,,,,,,,,
Fulfulde,"Pulaar, Fula, Fulani, Peul","Senegal, Gambia, Guinea, Nigeria, Cameroon, Sudan",Africa,Information and news site in ADLaM script,https://tabalde.com/coronawyalayjikku/,,,,,,,,,
Telugu,తెలుగు,India,South Asia,Hesperian info and prevention page,https://te.hesperian.org/hhg/%E0%B0%95%E0%B0%B0%E0%B1%8B%E0%B0%A8%E0%B0%BE%E0%B0%B5%E0%B1%88%E0%B0%B0%E0%B0%B8%E0%B1%8D,Web page,,,,,,,,
Rakhine,"ရခိုင်ဘာသာ, Arakanese",Myanmar,Southeast Asia,Info poster,https://themimu.info/sites/themimu.info/files/documents/COVID-19_Poster_Rakhine_Language_MoHS_20Mar2020.pdf,,,,,,,,,
Rohingya,,Myanmar,Southeast Asia,Key info audio message,https://themimu.info/sites/themimu.info/files/documents/CwC_Sittwe_-_Key_Messages_COVID-19_Rohingya.mp3,Audio,,,,,,,,
Rakhine,"ရခိုင်ဘာသာ, Arakanese",Myanmar,Southeast Asia,Informational video,https://themimu.info/sites/themimu.info/files/documents/CwC_Sittwe_-_WHO_Video_COVID-19_Rakhine.mp4,,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,Cover your cough poster,https://themimu.info/sites/themimu.info/files/documents/Guide_Cough_Etiquette_Kachin.jpg,,,,,,,,,
Shan,ရှမ်းဘာသာ,Myanmar,Southeast Asia,Cover your cough poster,https://themimu.info/sites/themimu.info/files/documents/Guide_Cough_Etiquette_Shan.jpg,,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,Prevention billboard,https://themimu.info/sites/themimu.info/files/documents/Guide_COVID-19_Billboard_Kachin.jpg,,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,How to wear a face mask,https://themimu.info/sites/themimu.info/files/documents/Guide_How_to_Wear_Mask_Kachin.jpg,,,,,,,,,
Shan,ရှမ်းဘာသာ,Myanmar,Southeast Asia,How to wear a face mask,https://themimu.info/sites/themimu.info/files/documents/Guide_How_to_Wear_Mask_Shan.jpg,,,,,,,,,
Shan,ရှမ်းဘာသာ,Myanmar,Southeast Asia,Prevention guide,https://themimu.info/sites/themimu.info/files/documents/Guide_Prevention_from_Coronavirus_Disease_COVID-19_MOHS_Shan.pdf,,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,Prevention poster,https://themimu.info/sites/themimu.info/files/documents/Guide_Prevention_of_COVID-19_Kachin.jpg,,,,,,,,,
Shan,ရှမ်းဘာသာ,Myanmar,Southeast Asia,Prevention poster,https://themimu.info/sites/themimu.info/files/documents/Guide_Prevention_of_COVID-19_Shan.jpg,,,,,,,,,
Rohingya,,Myanmar,Southeast Asia,Cartoon hand washing video,https://themimu.info/sites/themimu.info/files/documents/Meena_Cartoon_Video_Rohingya_Hand_Washing.mp4,,,,,,,,,
Jinghpaw,"Jingpho, Kachin, ကချင်ဘာသာ",Myanmar,Southeast Asia,Audio message,https://themimu.info/sites/themimu.info/files/documents/SLOGAN_CORONA_VIRUSKA_CHIN.mp2,,,,,,,,,
Rohingya,,Myanmar,Southeast Asia,Hand washing video,https://themimu.info/sites/themimu.info/files/documents/UNICEF_-_Guide_Handwashing_Audio_Rohingya.mp3,Audio,,,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",TPT COVID-19 vs. flu and allergies,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FFlu%20Allergies%20vs%2E%20COVID%2019%2FCOVID19%20vs%20Flu%20vs%20Allergies%5FHmong%2Ejpg&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FFlu%20Allergies%20vs%2E%20COVID%2019&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzppOi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRVdRNnFtUWxHWHBEbWtsNGJ1SVlxaU1CdkNnZWJja3J4bE1BUUhrb0RJUlE1dz9ydGltZT0zWE5NeFduYTEwZw,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,TPT COVID-19 vs. flu and allergies,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FFlu%20Allergies%20vs%2E%20COVID%2019%2FCOVID19%20vs%20Flu%20vs%20Allergies%5FSomali%2Ejpg&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FFlu%20Allergies%20vs%2E%20COVID%2019&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzppOi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRWFNSmtvOFFkTlJNc0J5RUY0emZsRm9CcnpzazRYUmk3SGkzZ19ja0VTX2I0QT9ydGltZT1xeVVsZ0dyYTEwZw,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",Minnesota shelter-in-place graphic,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FShelter%20In%20Place%2FStay%20At%20Home%20for%20JIC%20and%20TPT%20NOW%2FShelterInPlace%5FHMONG%2Ejpg&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FShelter%20In%20Place%2FStay%20At%20Home%20for%20JIC%20and%20TPT%20NOW&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzppOi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRVlWbjB1THNmd3BEczdqektxSHQ3R1FCS3dreWZmSlJyYU5nWXFhRld3ZF80dz9ydGltZT1lWTdLclduYTEwZw,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,Minnesota shelter-in-place graphic,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FShelter%20In%20Place%2FStay%20At%20Home%20for%20JIC%20and%20TPT%20NOW%2FShelterInPlace%5FSOMALI%2Ejpg&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20COVID%2019%20Social%20Media%20Banners%2FShelter%20In%20Place%2FStay%20At%20Home%20for%20JIC%20and%20TPT%20NOW&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzppOi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRWU1S09vTm5yZXRBcU9ZMUtVUUFEcmdCNXJMWGZXdi0taXZtV21aN19aNEtqUT9ydGltZT1sYVZNZVdyYTEwZw,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",TPT COVID-19 explainer video,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20COVID%5F19%20Explained%2FCovid%2D19%20Explained%20Hmong%2Emp4&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20COVID%5F19%20Explained&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzp2Oi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRVM3ZHA4YVRlNjVMck9UZE9zODhxWkVCblNtMWN1TzUycUNuNmdzaWhHZUVZZz9ydGltZT1VbnVtRzJyYTEwZw,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,TPT COVID-19 explainer video,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20COVID%5F19%20Explained%2FCovid%2D19%20Explained%20Somali%2Emp4&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20COVID%5F19%20Explained&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzp2Oi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRWMyYkVWd0todkpBbHloNDNOc1pURW9CQkctaGFFY1Q4R0R3ZG5XdFM0WXVPZz9ydGltZT1BeEkzbjJyYTEwZw,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",TPT hand washing video,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20Handwashing%2FHandwashing%5FHmong%5FTPTNOW%2Emp4&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20Handwashing&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzp2Oi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRVNJRlRLVnFvNDFKbGFYNzkxQTlmQ2dCaDV3dkhJMTBKS05sTVJZQ1gzeFVuZz9ydGltZT1aTmx1MlduYTEwZw,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,TPT hand washing video,https://twincitiespbs.sharepoint.com/sites/TPTCOVID-19PublicInfoTeam/Shared Documents/Forms/AllItems.aspx?id=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20Handwashing%2FHandwashing%5FSomali%5FTPTNOW%2Emp4&amp,parent=%2Fsites%2FTPTCOVID%2D19PublicInfoTeam%2FShared%20Documents%2FGeneral%2FALL%20ESL%20COVID%2019%2FESL%20Video%20Shorts%2FESL%20Handwashing&amp,p=true&amp,originalPath=aHR0cHM6Ly90d2luY2l0aWVzcGJzLnNoYXJlcG9pbnQuY29tLzp2Oi9zL1RQVENPVklELTE5UHVibGljSW5mb1RlYW0vRVZJWE9MYk9SVGhBakZqcDBON0VidUlCQlR6SE9FWjdqT1BMbUh5RnR2a3dGQT9ydGltZT1uYUREaW1yYTEwZw,,,,,,
Tamil,தமிழ்,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://twitter.com/AdivasisMatter/status/1240857434626932738,Image/poster,,,,,,,,
Kannada,ಕನ್ನಡ,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://twitter.com/AdivasisMatter/status/1240858460885061633,Image/poster,,,,,,,,
Konkani,कोंकणी,India,South Asia,Translated info sheet from Adivasi Lives Matter,https://twitter.com/AdivasisMatter/status/1240865155472412672,Image/poster,,,,,,,,
Warli,वारली,India,South Asia,Infographic from Adivasi Lives Matter,https://twitter.com/AdivasisMatter/status/1241014529477263361,Image/poster,,,,,,,,
Semai,,Malaysia,Southeast Asia,Infographic poster,https://twitter.com/aidilokayje/status/1240918538627371010/photo/1,Image/poster,,,,,,,,
Temiar,,Malaysia,Southeast Asia,Infographic poster,https://twitter.com/aidilokayje/status/1240918538627371010/photo/2,Image/poster,,,,,,,,
Temuan,,Malaysia,Southeast Asia,Infographic poster (Negeri Sembilan variety),https://twitter.com/aidilokayje/status/1240918538627371010/photo/3,Image/poster,,,,,,,,
Temuan,,Malaysia,Southeast Asia,Infographic poster (Degkil/Banting variety),https://twitter.com/aidilokayje/status/1240918538627371010/photo/4,Image/poster,,,,,,,,
Yucatec Maya,"mayaʼ tʼàan, maayat'aan",Mexico,Mexico-Central America-Caribbean,Prevention infographic,https://twitter.com/CJL_L/status/1240958943280672768,Image/poster,,,,,,,,
Yaqui,"Jiak Noki, Yoem Noki, Yoeme",Mexico,Mexico-Central America-Caribbean,Symptom and prevention infographics,https://twitter.com/ClaudiaPavlovic/status/1239285157686915072?s=20,Image/poster,,,,,,,,
Seri,,Mexico,Mexico-Central America-Caribbean,Symptoms and prevention infographics,https://twitter.com/ClaudiaPavlovic/status/1239635716046553091?s=20,Image/poster,,,,,,,,
Mayo,"Yoremnokki, Yorem Nokki",Mexico,Mexico-Central America-Caribbean,Symptoms and prevention infographics,https://twitter.com/ClaudiaPavlovic/status/1239670241552142336?s=20,Image/poster,,,,,,,,
Malayalam,മലയാളം,India,South Asia,Infographic from CMO Kerala,https://twitter.com/CMOKerala/status/1238420136068968448/photo/3,Image/poster,,,,,,,,
Yorùbá,,Nigeria,Africa,Social distancing and prevention song,https://twitter.com/Edaoto/status/1256295843017211906,Image/poster,,,,,,,,
Chatino de San Juan Quiahije,,Mexico,Mexico-Central America-Caribbean,Prevention and info poster,https://twitter.com/EmilianaCruz2/status/1242280514268155906,Image/poster,,,,,,,,
Acehnese,"بهسا اچيه, Bahsa Acèh",Indonesia,Pacific,Symptoms &amp, prevention poster,https://twitter.com/iloveaceh/status/1241012772483153920,Image/poster,,,,,,,
Yucatec Maya,"mayaʼ tʼàan, maayat'aan",Mexico,Mexico-Central America-Caribbean,Informational video,https://twitter.com/Inaip/status/1241107244034306049,Image/poster,,,,,,,,
Náhuatl,Mexikatlahtolli,Mexico,Mexico-Central America-Caribbean,INALI informational video ,https://twitter.com/INALIMEXICO/status/1240756272993091589,Image/poster,,,,,,,,
"Mixe, Oaxaca","Ayuujk, Ayuk",Mexico,Mexico-Central America-Caribbean,INALI informational video ,https://twitter.com/INALIMEXICO/status/1240756630175834113,Image/poster,,,,,,,,
Tepehuán del Sur,"O'dam, O'otham",Mexico,Mexico-Central America-Caribbean,INALI informational video ,https://twitter.com/INALIMEXICO/status/1240757508668604418,Image/poster,,,,,,,,
Mixteco del Pueblo Viente,Se'en savi,Mexico,Mexico-Central America-Caribbean,INALI informational video ,https://twitter.com/INALIMEXICO/status/1240757935933992960,Image/poster,,,,,,,,
Yaqui,"Jiak Noki, Yoem Noki, Yoeme",Mexico,Mexico-Central America-Caribbean,Informational video,https://twitter.com/INALIMEXICO/status/1242514067803209728,Image/poster,,,,,,,,
Yorùbá,,Nigeria,Africa,Hand washing poster,https://twitter.com/iyayoruba/status/1242400550861320192,Image/poster,,,,,,,,
Jèrriais ,,"Channel Islands, UK, France",Europe,Health guidelines,https://twitter.com/le_jerriais/status/1239659609239019521,Image/poster,,,,,,,,
Gallo,Galo,France,Europe,Public health infographic,https://twitter.com/le_jerriais/status/1240309402822983688,Image/poster,,,,,,,,
Triqui,,Mexico,Mexico-Central America-Caribbean, Symptoms infographic,https://twitter.com/LyC_Triqui/status/1239369945038938117,Image/poster,,,,,,,,
Triqui,,Mexico,Mexico-Central America-Caribbean,Handwashing poster,https://twitter.com/LyC_Triqui/status/1239432072185470976,Image/poster,,,,,,,,
Puinave,,Colombia,South America,Informational video,https://twitter.com/OPIAC_Amazonia/status/1244105825880342528?s=20,Image/poster,,,,,,,,
Tseltal,Tzeltal,Mexico,Mexico-Central America-Caribbean,Informational video,https://twitter.com/SSaludChiapas/status/1239365582849441792?s=20,Image/poster,,,,,,,,
Tzotzil,"Tsotsil, Batsʼi kʼop",Mexico,Mexico-Central America-Caribbean,Informational video,https://twitter.com/SSaludChiapas/status/1239605425307295744?s=20,Image/poster,,,,,,,,
Minangkabau,باسو مينڠكاباو,Indonesia,Pacific,Infographic posters,https://twitter.com/uqiahmad003/status/1241166299851411457,Image/poster,,,,,,,,
Batak Karo,,Indonesia,Pacific,Glossary/terms sheet,https://twitter.com/uqiahmad003/status/1241617659222831106,Image/poster,,,,,,,,
Javanese,,Indonesia,Pacific,Symptoms and prevention poster,https://twitter.com/watespahpoh/status/1242297680681766913?s=20,Image/poster,,,,,,,,
Urdu,اُردُو,"Pakistan, India",South Asia,Hesperian info and prevention guide,https://ur.hesperian.org/hhg/%DA%A9%D8%B1%D9%88%D9%86%D8%A7_%D9%88%D8%A7%D8%A6%D8%B1%D8%B3,Web page,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,USAHello information page,https://usahello.org/am/coronavirus-information/,Web page,,,,,,,,
Belarusian,беларуская мова,"Belarus, Poland, Ukraine, Czech Republic",Europe,USAHello information page,https://usahello.org/be/coronavirus-information/,Web page,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,USAHello information page,https://usahello.org/fa/coronavirus-information/,Web page,,,,,,,,
Hausa,هَرْشَن هَوْسَ,"Niger, Nigeria, Ghana, Cameroon, Togo, Benin",Africa,HelloUSA information page,https://usahello.org/ha/coronavirus-information/,Web page,,,,,,,,
Hebrew,עִבְרִית,Israel,Near East,USAHello information page,https://usahello.org/he/coronavirus-information/,Web page,,,,,,,,
Hmong,lus Hmoob,"China, Laos, Vietnam","Southeast Asia, East Asia",USAHello information page,https://usahello.org/hmn/coronavirus-information/,Web page,,,,,,,,
Haitian Creole,kreyòl ayisyen,Haiti,Mexico-Central America-Caribbean,HelloUSA information page,https://usahello.org/ht/coronavirus-information/,Web page,,,,,,,,
Armenian,հայերեն,Armenia,Europe,USAHello information page,https://usahello.org/hy/coronavirus-information/,Web page,,,,,,,,
Khmer,ភាសាខ្មែរ,"Cambodia, Thailand, Vietnam",Southeast Asia,USAHello information page,https://usahello.org/km/coronavirus-information/,Web page,,,,,,,,
Kurdish,کورمانجی,"Iran, Iraq, Syria, Turkey",Near East,USAHello information page,https://usahello.org/ku/coronavirus-information/,Web page,,,,,,,,
Lao,"ລາວ, Laotian","Laos, Thailand",Southeast Asia,USAHello information page,https://usahello.org/lo/coronavirus-information/,Web page,,,,,,,,
Lithuanian,lietuvių kalba,Lithuania,Europe,USAHello information page,https://usahello.org/lt/coronavirus-information/,Web page,,,,,,,,
Māori,,New Zealand,Pacific,USAHello information page,https://usahello.org/mi/coronavirus-information/,Web page,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,USAHello information page,https://usahello.org/my/coronavirus-information/,Web page,,,,,,,,
Nepali,नेपाली,"Nepal, India",South Asia,USAHello information page,https://usahello.org/ne/coronavirus-information/,Web page,,,,,,,,
Slovakian,slovenčina,"Slovakia, Hungary",Europe,USAHello information page,https://usahello.org/sk/coronavirus-information/,Web page,,,,,,,,
Slovene,"slovenski jezik, slovenščina, Slovenian","Slovenia, Italy, Austria",Europe,USAHello information page,https://usahello.org/sl/coronavirus-information/,Web page,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,USAHello information page,https://usahello.org/so/coronavirus-information/,Web page,,,,,,,,
Albanian,shqip,Albania,Europe,USAHello information page,https://usahello.org/sq/coronavirus-information/,Web page,,,,,,,,
Serbian,српски,"Serbia, Bosnia, Croatia",Europe,USAHello information page,https://usahello.org/sr/coronavirus-information/,Web page,,,,,,,,
Sundanese,"Basa Sunda, ",Indonesia,Pacific,HelloUSA information page,https://usahello.org/su/coronavirus-information/,Web page,,,,,,,,
Tajik,тоҷикӣ,"Tajikistan, Uzbekistan",Near East,USAHello information page,https://usahello.org/tg/coronavirus-information/,Web page,,,,,,,,
Thai,ภาษาไทย,Thailand,Southeast Asia,USAHello information page,https://usahello.org/th/coronavirus-information/,Web page,,,,,,,,
Tagalog,,Philippines,Southeast Asia,USAHello information page,https://usahello.org/tl/coronavirus-information/,Web page,,,,,,,,
Turkish,Türkçe,Turkey,Europe,USAHello information page,https://usahello.org/tr/coronavirus-information/,Web page,,,,,,,,
Ukrainian,українська мова,Ukraine,Europe,USAHello information page,https://usahello.org/uk/coronavirus-information/,Web page,,,,,,,,
Urdu,اُردُو,"Pakistan, India",South Asia,USAHello information page,https://usahello.org/ur/coronavirus-information/,Web page,,,,,,,,
Uzbek,"o‘zbekcha, ўзбекча, اوزبیک تیلی","Uzbekistan, Kyrgyzstan, Tajikistan, Afghanistan, Russia",Europe,USAHello information page,https://usahello.org/uz/coronavirus-information/,Web page,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,USAHello information page,https://usahello.org/vi/coronavirus-information/,Web page,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,Hesperian info and prevention page,https://vi.hesperian.org/hhg/Vi-r%C3%BAt_corona,Web page,,,,,,,,
